"Job","Host Name","Partition","QOS","Submit","Start","End","Elapsed Secs","Nodes Allocated","Raw Hours"
"64237987","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:24:32","2022-11-10 22:25:30","2022-11-10 23:25:59","3629","1","0.06300347222222222"
"64237988","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:24:40","2022-11-10 22:25:33","2022-11-10 23:26:04","3631","1","0.06303819444444445"
"64237989","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:24:48","2022-11-10 22:25:33","2022-11-10 23:26:00","3627","1","0.06296875"
"64237990","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:24:56","2022-11-10 22:25:33","2022-11-10 23:26:01","3628","1","0.06298611111111112"
"64237991","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:25:01","2022-11-10 22:25:33","2022-11-10 23:59:59","5666","1","0.09836805555555556"
"64237991","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:25:01","2022-11-11 00:00:00","2022-11-11 10:25:49","37549","1","0.6518923611111112"
"64237992","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:25:03","2022-11-10 22:25:33","2022-11-10 23:26:01","3628","1","0.06298611111111112"
"64237993","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:25:10","2022-11-10 22:25:33","2022-11-10 23:26:09","3636","1","0.063125"
"64237994","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:25:19","2022-11-10 22:25:33","2022-11-10 23:26:09","3636","1","0.063125"
"64237995","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:25:26","2022-11-10 22:25:33","2022-11-10 23:26:07","3634","1","0.06309027777777777"
"64237999","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:25:34","2022-11-10 22:26:30","2022-11-10 23:27:06","3636","1","0.063125"
"64238000","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:25:40","2022-11-10 22:26:30","2022-11-10 23:27:06","3636","1","0.063125"
"64238001","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:25:45","2022-11-10 22:26:30","2022-11-10 23:27:04","3634","1","0.06309027777777777"
"64238002","cori haswell","interactive","interactive","2022-11-10 22:25:50","2022-11-10 22:25:50","2022-11-10 23:37:59","4329","1","1.2025"
"64238003","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:25:51","2022-11-10 22:26:30","2022-11-10 23:27:06","3636","1","0.063125"
"64238004","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:25:56","2022-11-10 22:26:30","2022-11-10 23:27:04","3634","1","0.06309027777777777"
"64238005","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:26:04","2022-11-10 22:26:30","2022-11-10 23:27:03","3633","1","0.06307291666666667"
"64238006","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:26:11","2022-11-10 22:26:30","2022-11-10 23:27:06","3636","1","0.063125"
"64238008","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:26:19","2022-11-10 22:26:30","2022-11-10 23:27:03","3633","1","0.06307291666666667"
"64238009","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:26:26","2022-11-10 22:26:30","2022-11-10 23:26:58","3628","1","0.06298611111111112"
"64238010","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:26:33","2022-11-10 22:28:30","2022-11-10 23:28:50","3620","1","0.06284722222222222"
"64238011","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:26:40","2022-11-10 22:28:30","2022-11-10 23:28:50","3620","1","0.06284722222222222"
"64238012","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:26:48","2022-11-10 22:28:30","2022-11-10 23:28:50","3620","1","0.06284722222222222"
"64238013","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:26:55","2022-11-10 22:28:30","2022-11-10 23:28:50","3620","1","0.06284722222222222"
"64238044","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:27:01","2022-11-10 22:28:31","2022-11-10 23:28:50","3619","1","0.06282986111111111"
"64238045","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:27:07","2022-11-10 22:28:31","2022-11-10 23:28:50","3619","1","0.06282986111111111"
